2,Antonette,suscipit repellat esse quibusdam voluptatem incidunt,False
2,Antonette,distinctio vitae autem nihil ut molestias quo,True
2,Antonette,et itaque necessitatibus maxime molestiae qui quas velit,False
2,Antonette,adipisci non ad dicta qui amet quaerat doloribus ea,False
2,Antonette,voluptas quo tenetur perspiciatis explicabo natus,True
2,Antonette,aliquam aut quasi,True
2,Antonette,veritatis pariatur delectus,True
2,Antonette,nesciunt totam sit blanditiis sit,False
2,Antonette,laborum aut in quam,False
2,Antonette,nemo perspiciatis repellat ut dolor libero commodi blanditiis omnis,True
2,Antonette,repudiandae totam in est sint facere fuga,False
2,Antonette,earum doloribus ea doloremque quis,False
2,Antonette,sint sit aut vero,False
2,Antonette,porro aut necessitatibus eaque distinctio,False
2,Antonette,repellendus veritatis molestias dicta incidunt,True
2,Antonette,excepturi deleniti adipisci voluptatem et neque optio illum ad,True
2,Antonette,sunt cum tempora,False
2,Antonette,totam quia non,False
2,Antonette,doloremque quibusdam asperiores libero corrupti illum qui omnis,False
2,Antonette,totam atque quo nesciunt,True
